a,b,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
GS25(관악한일),서울 관악구 남현동  602-11 한일빌딩 1층,서울 관악구 남현동  602-11 한일빌딩 1층,126.9813425,37.4739844,정좌표,1.16201E+18,구주소,서울특별시 관악구 승방2길 2,서울특별시 관악구 남현동 602-11,8807,1162063000,남현동,1162010300,남현동
하나편의점,인천 남동구 구월로 281 세븐일레븐편의점내,인천 남동구 구월로 281 세븐일레븐편의점내,126.7219758,37.4559299,정좌표,2.82001E+18,새주소,인천광역시 남동구 구월로 281,인천광역시 남동구 만수동 906-2,21542,2820058200,만수5동,2820010300,만수동
C-Space 신림녹두,서울 관악구 신림9동  240-3  밀라트빌딩,서울 관악구 신림9동  240-3  밀라트빌딩,126.9385929,37.4702292,정좌표,1.16201E+18,구주소,서울특별시 관악구 신림로 97,서울특별시 관악구 신림동 240-3,8814,1162073500,대학동,1162010200,신림동
미니스톱기장점,부산 기장군 차성동로 69,부산 기장군 차성동로 69,129.2165161,35.2438851,정좌표,2.67103E+18,새주소,부산광역시 기장군 기장읍 차성동로 69,부산광역시 기장군 기장읍 동부리 162-20,46066,2671025000,기장읍,2671025021,기장읍 동부리
한미복권방,서울 강동구 성내1동  550,서울 강동구 성내1동  550,127.1237934,37.529136,정좌표,1.17401E+18,구주소,서울특별시 강동구 성내로 32,서울특별시 강동구 성내동 550,5399,1174064000,성내1동,1174010800,성내동
가로판매(버스카드),서울 영등포구 여의나루로 42 가로판매점(여의도동),서울 영등포구 여의나루로 42 가로판매점(여의도동),126.9249709,37.5214745,정좌표,1.15601E+18,새주소,서울특별시 영등포구 여의나루로 42,서울특별시 영등포구 여의도동 35-5,7328,1156054000,여의동,1156011000,여의도동
태흥금방,경기 의정부시 의정로 118,경기 의정부시 의정로 118,127.0351743,37.7435662,정좌표,4.11501E+18,새주소,경기도 의정부시 의정로 118,경기도 의정부시 가능동 738-34,11667,4115061500,흥선동,4115011000,가능동
라스정보통신,서울 강북구 수유동  256-22  미니스톱내,서울 강북구 수유동  256-22  미니스톱내,127.0199953,37.6451576,정좌표,1.13051E+18,구주소,서울특별시 강북구 한천로 1120,서울특별시 강북구 수유동 256-22,1047,1130562500,수유2동,1130510300,수유동
대박예감,경기 화성시 영통로 36 1층,경기 화성시 영통로 36 1층,127.0639866,37.2339731,정좌표,4.15901E+18,새주소,경기도 화성시 영통로 36,경기도 화성시 반월동 64-3,18379,4159055000,반월동,4159012000,반월동
GS25(천안성정),충남 천안시 성정동  193-17번지,충남 천안시 성정동  193-17번지,127.1415763,36.8126525,정좌표,4.41331E+18,구주소,충청남도 천안시 서북구 봉정로 120-2,충청남도 천안시 서북구 성정동 193-17,31145,4413351000,성정1동,4413310200,성정동
로또 코리아북삼점,경북 칠곡군 북삼읍 인평리 인평리 1094-1,경북 칠곡군 북삼읍 인평리 인평리 1094-1,128.3385404,36.0684195,법정동 좌표,47850,판별불가,,경상북도 칠곡군 북삼읍 인평리,NULL,4785025300,북삼읍,4785025325,북삼읍 인평리
자양사거리 가로매점,서울 광진구 자양로 95,서울 광진구 자양로 95,127.0832139,37.5362255,정좌표,1.12151E+18,새주소,서울특별시 광진구 자양로 95,서울특별시 광진구 자양동 219-2,5055,1121582000,자양1동,1121510500,자양동
일공공일 안경콘택트,경북 구미시 구미중앙로5길 2,경북 구미시 구미중앙로5길 2,128.3282735,36.1303128,정좌표,4.71901E+18,새주소,경상북도 구미시 구미중앙로5길 2,경상북도 구미시 원평동 109-20,39221,4719053500,원평동,4719010100,원평동
영덕로또복권,경북 영덕군 덕곡길 128,경북 영덕군 덕곡길 128,129.3656757,36.4129099,정좌표,4.77703E+18,새주소,경상북도 영덕군 영덕읍 덕곡길 128,경상북도 영덕군 영덕읍 남석리 216-5,36433,4777025000,영덕읍,4777025023,영덕읍 남석리
사랑의 꽃집,경북 영주시 하망동  247-9,경북 영주시 하망동  247-9,128.6344032,36.8301625,정좌표,4.72101E+18,구주소,경상북도 영주시 원당로223번길 13,경상북도 영주시 하망동 247-9,36069,4721052500,하망동,4721010300,하망동
GS25(창원서광),경남 창원시 중앙동  1004 서광오피스텔,경남 창원시 중앙동  1004 서광오피스텔,128.6648631,35.2258001,인근좌표,48123,구주소,,경상남도 창원시 성산구 중앙동 1004,NULL,4812352000,중앙동,4812312500,중앙동
제일통신,서울 노원구 중계동  591 대호프라자 1층106,서울 노원구 중계동  591 대호프라자 1층106,127.0732529,37.6597883,정좌표,1.13501E+18,구주소,서울특별시 노원구 한글비석로 384,서울특별시 노원구 중계동 591,1662,1135062400,중계4동,1135010600,중계동
서울수퍼,서울 중랑구 동일로 809-1,서울 중랑구 동일로 809-1,127.0789785,37.6027076,정좌표,1.12601E+18,새주소,서울특별시 중랑구 동일로 809-1,서울특별시 중랑구 중화동 305-17,2017,1126061000,중화2동,1126010300,중화동
복권방(천하명당),서울 성동구 행당로 75 행당동대림아파트 리빙프라자동 지하2층 비202,서울 성동구 행당로 75 행당동대림아파트 리빙프라자동 지하2층 비202,127.0285331,37.5594137,(무료버전 위치정밀도 제한)정좌표,11200,새주소,서울특별시 성동구 행당로 75,서울특별시 성동구,NULL,,,,
훼미리마트월영마을점,경남 창원시 마산합포구 월영남로 21,경남 창원시 마산합포구 월영남로 21,128.5586515,35.1769121,정좌표,4.81252E+18,새주소,경상남도 창원시 마산합포구 월영남로 21,경상남도 창원시 마산합포구 해운동 18-29,51752,4812553000,월영동,4812515800,해운동
선마트로또점,대구 달서구 월성동  275-2    105,대구 달서구 월성동  275-2    105,128.5331532,35.8315962,정좌표,2.72901E+18,구주소,대구광역시 달서구 월성로 20,대구광역시 달서구 월성동 275-2,42728,2729060200,월성2동,2729012000,월성동
Yes할인마트,서울 강남구 개포로 202 1층 이마트 24,서울 강남구 개포로 202 1층 이마트 24,127.0449848,37.4781743,정좌표,1.16801E+18,새주소,서울특별시 강남구 개포로 202,서울특별시 강남구 개포동 1238,6307,1168069000,개포4동,1168010300,개포동
대창,서울 강동구 상암로 211 1층,서울 강동구 상암로 211 1층,127.1461652,37.5466451,정좌표,1.17401E+18,새주소,서울특별시 강동구 상암로 211,서울특별시 강동구 명일동 341-5,5294,1174053000,명일1동,1174010100,명일동
승리 로또당리점,부산 사하구 당리동  324-19,부산 사하구 당리동  324-19,128.9765129,35.1018819,정좌표,2.63801E+18,구주소,부산광역시 사하구 다대로 6,부산광역시 사하구 당리동 324-19,49411,2638055000,당리동,2638010200,당리동
에스에프마트,울산 북구 동대17길 2,울산 북구 동대17길 2,129.3515849,35.6302968,정좌표,3.12001E+18,새주소,울산광역시 북구 동대17길 2,울산광역시 북구 호계동 257-2,44227,3120051000,농소1동,3120010200,호계동
삼성로또복권방슈퍼,전북 남원시 네마실1길 10-5,전북 남원시 네마실1길 10-5,127.3865906,35.4169247,정좌표,5.21901E+18,새주소,전북특별자치도 남원시 네마실1길 10-5,전북특별자치도 남원시 향교동 136-4,55731,5219057000,향교동,5219011100,향교동
불광가판점,서울 은평구 불광1동  281-175,서울 은평구 불광1동  281-175,126.930813,37.6098378,정좌표,1.13801E+18,구주소,서울특별시 은평구 통일로 716,서울특별시 은평구 불광동 281-175,3368,1138052000,불광1동,1138010300,불광동
가로공원충전소,서울 양천구 신월1동  146-1,서울 양천구 신월1동  146-1,126.8289536,37.5356808,정좌표,1.14701E+18,구주소,서울특별시 양천구 남부순환로 353,서울특별시 양천구 신월동 146-1,7920,1147056000,신월1동,1147010300,신월동
플러스 복권,대전 서구 대덕대로168번길 82 편의점 내,대전 서구 대덕대로168번길 82 편의점 내,127.3787472,36.3449404,정좌표,3.01701E+18,새주소,대전광역시 서구 대덕대로168번길 82,대전광역시 서구 갈마동 1448,35265,3017058200,갈마2동,3017011100,갈마동
풍년로또,인천 남동구 구월4동  1265-10,인천 남동구 구월4동  1265-10,126.719302,37.4529906,정좌표,2.82001E+18,구주소,인천광역시 남동구 호구포로 792,인천광역시 남동구 구월동 1265-10,21534,2820052200,구월4동,2820010100,구월동
로또명당점,대전 서구 관저로129번길 3,대전 서구 관저로129번길 3,127.3361228,36.2991172,정좌표,3.01701E+18,새주소,대전광역시 서구 관저로129번길 3,대전광역시 서구 관저동 1089,35378,3017059700,관저2동,3017011600,관저동
로또명당매화점,충북 옥천군 옥천읍 매화리 매화리 36-6,충북 옥천군 옥천읍 매화리 매화리 36-6,127.59585,36.3023952,법정동 좌표,43730,판별불가,,충청북도 옥천군 옥천읍 매화리,NULL,4373025000,옥천읍,4373025028,옥천읍 매화리
GS25(마산상남),경남 마산시 상남동  230-25,경남 마산시 상남동  230-25,128.6835628,35.2169523,인근좌표,48123,구주소,,경상남도 창원시 성산구 상남동 230-25,NULL,4812353000,상남동,4812312700,상남동
행운의 집,서울 강동구 구천면로 220,서울 강동구 구천면로 220,127.1292275,37.5405204,정좌표,1.17401E+18,새주소,서울특별시 강동구 구천면로 220,서울특별시 강동구 천호동 549-1,5334,1174062000,천호3동,1174010900,천호동
담배 소매점,서울 용산구 용문동  32-111 (6/4),서울 용산구 용문동  32-111 (6/4),126.9593015,37.5380008,정좌표,1.11701E+18,구주소,서울특별시 용산구 새창로14길 33,서울특별시 용산구 용문동 32-111,4356,1117059000,용문동,1117012100,용문동
흥부네대박났네,경기 광주시 경충대로 763,경기 광주시 경충대로 763,127.2528821,37.4034861,도로중심좌표,41610,새주소,경기도 광주시 경충대로 763,경기도 광주시,NULL,,,,
상동매표,경기 부천시 원미구 상동 상동 412,경기 부천시 원미구 상동 상동 412,126.7608124,37.4948987,법정동 좌표,41192,판별불가,,경기도 부천시 원미구 상동,NULL,4119267000,상동,4119210900,상동
하이마트,인천 서구 심곡동  333-7,인천 서구 심곡동  333-7,126.6723499,37.5445027,정좌표,2.82601E+18,구주소,인천광역시 서구 승학로 245,인천광역시 서구 심곡동 333-7,22724,2826053000,연희동,2826010700,심곡동
대박나라 베팅숍,경기 부천시 성주로 84,경기 부천시 성주로 84,126.7654655,37.4794587,정좌표,4119,새주소,경기도 부천시 성주로 84,경기도 부천시,NULL,,,,
현대보석,전북 전주시 덕진구 시천로 96-14,전북 전주시 덕진구 시천로 96-14,127.1161569,35.8671944,정좌표,5.21131E+18,새주소,전북특별자치도 전주시 덕진구 시천로 96-14,전북특별자치도 전주시 덕진구 송천동2가 587-5,54827,5211364200,송천2동,5211312200,송천동2가
훼미리마트(포항제일),경북 포항시 북구 죽도동 죽도동 618-2,경북 포항시 북구 죽도동 죽도동 618-2,129.363271,36.0311434,법정동 좌표,47113,판별불가,,경상북도 포항시 북구 죽도동,NULL,4711365500,죽도동,4711311600,죽도동
토토와로또 복권방,충남 서산시 동문동  288-10,충남 서산시 동문동  288-10,126.4583839,36.7811131,정좌표,4.42101E+18,구주소,충청남도 서산시 시장4길 34,충청남도 서산시 동문동 288-10,31981,4421053500,동문2동,4421010200,동문동
성원식품,서울 서초구 서초3동  1451-2 성원빌딩 102,서울 서초구 서초3동  1451-2 성원빌딩 102,127.0121871,37.4832028,정좌표,1.16501E+18,구주소,서울특별시 서초구 반포대로 30,서울특별시 서초구 서초동 1451-2,6716,1165053000,서초3동,1165010800,서초동
㈜ Cspace 다대제일점,부산 사하구 다대동  820-12  4/5,부산 사하구 다대동  820-12  4/5,128.9715876,35.0565176,정좌표,2.63801E+18,구주소,부산광역시 사하구 다대동로 31,부산광역시 사하구 다대동 820-12,49524,2638060100,다대1동,2638010600,다대동
대승복권,부산 해운대구 좌동  1484-1 대승플라자빌딩 101,부산 해운대구 좌동  1484-1 대승플라자빌딩 101,129.1782747,35.1689723,정좌표,2.63501E+18,구주소,부산광역시 해운대구 세실로 45,부산광역시 해운대구 좌동 1484-1,48111,2635055200,좌2동,2635010700,좌동
로또잭팟,서울 관악구 신림동  727-5,서울 관악구 신림동  727-5,126.9164088,37.4744069,정좌표,1.16201E+18,구주소,서울특별시 관악구 미성3길 1,서울특별시 관악구 신림동 727-5,8864,1162069500,신림동,1162010200,신림동
신수칼라,서울 마포구 신수동  339-3,서울 마포구 신수동  339-3,126.9340957,37.5472278,정좌표,1.14401E+18,구주소,서울특별시 마포구 독막로 184-1,서울특별시 마포구 신수동 339-3,4087,1144063000,신수동,1144011100,신수동
GS25(양재공원),서울 서초구 양재동  321-2,서울 서초구 양재동  321-2,127.0413677,37.4710266,정좌표,1.16501E+18,구주소,서울특별시 서초구 강남대로12길 49,서울특별시 서초구 양재동 321-2,6779,1165065200,양재2동,1165010200,양재동
조이풀이삭토스트,부산 동래구 중앙대로 1520 북쪽출구 빵집,부산 동래구 중앙대로 1520 북쪽출구 빵집,129.086398,35.2202723,정좌표,2.62601E+18,새주소,부산광역시 동래구 중앙대로 1520,부산광역시 동래구 온천동 1750-1,47710,2626055000,온천1동,2626010800,온천동
㈜ Cspace 중앙제일점,부산 중구 동광동3가  17-2,부산 중구 동광동3가  17-2,129.0347674,35.1011463,정좌표,2.61101E+18,구주소,부산광역시 중구 중앙대로41번길 14-1,부산광역시 중구 동광동3가 17-2,48955,2611052000,동광동,2611011300,동광동3가
신봤다대박복권방,경기 안산시 상록구 본오동 본오동 882-2  1층 우측상가,경기 안산시 상록구 본오동 본오동 882-2  1층 우측상가,126.8645993,37.2891861,법정동 좌표,41271,판별불가,,경기도 안산시 상록구 본오동,NULL,,,4127110400,본오동
훼미리마트(구미사곡),경북 구미시 사곡동  481-7,경북 구미시 사곡동  481-7,128.3587017,36.0980044,정좌표,4.71901E+18,구주소,경상북도 구미시 상사동로 149-4,경상북도 구미시 사곡동 481-7,39330,4719064500,상모사곡동,4719011500,사곡동
